Id,source,title,article,page_rank,timestamp,label,text,n_tokens,title_len,article_len,title_ratio,y_true,y_pred,fold
27,Reuters,Astronauts venture out for work on space station,"CAPE CANAVERAL, Florida (Reuters) - A pair of high-tech construction workers ventured outside the International Space Station on Monday to hook up electrical connections on a massive girder that holds new solar panels needed to boost power on the orbital outpost.",5,2007-06-12 04:51:11,5,"astronauts venture out for work on space station cape canaveral, florida (reuters) - a pair of high-tech construction workers ventured outside the international space station on monday to hook up electrical connections on a massive girder that holds new solar panels needed to boost power on the orbital outpost.",41,48,263,0.18181818181818182,5,2,1
50,GovExec.com,US faces severe shortage of flu vaccine this winter,"British authorities on Tuesday suspended for three months the manufacturing license of the Chiron Corp., a key supplier of flu vaccine to the United States.",5,0000-00-00 00:00:00,3,"us faces severe shortage of flu vaccine this winter british authorities on tuesday suspended for three months the manufacturing license of the chiron corp., a key supplier of flu vaccine to the united states.",25,51,156,0.3248407643312102,3,6,1
120,MLive.com,Sudan rules out talk of African troops,Sudan&#39;s government on Saturday ruled out discussion of an African Union proposal to send peacekeepers into the conflict-ridden Darfur region during the latest peace talks with rebels.,5,0000-00-00 00:00:00,5,sudan rules out talk of african troops sudan&#39;s government on saturday ruled out discussion of an african union proposal to send peacekeepers into the conflict-ridden darfur region during the latest peace talks with rebels.,27,38,187,0.20212765957446807,5,3,1
155,Washington,NATO sends troops to guard key election,NATO dispatched extra troops to Kosovo for an election today seen by majority ethnic Albanians as a key step toward turning their UN-ruled protectorate into an independent nation.,5,2004-10-23 08:57:16,3,nato sends troops to guard key election nato dispatched extra troops to kosovo for an election today seen by majority ethnic albanians as a key step toward turning their un-ruled protectorate into an independent nation.,28,39,179,0.21666666666666667,3,0,1
162,BBC,US investigates Falluja killing,"US marines probe whether a soldier shot dead an unarmed, injured insurgent at close range in Falluja.",5,0000-00-00 00:00:00,0,"us investigates falluja killing us marines probe whether a soldier shot dead an unarmed, injured insurgent at close range in falluja.",17,31,101,0.30392156862745096,0,5,1
179,New,ISPAT to become world&#39;s biggest steel company:,"[World News]: New York, Oct 25 : Global steel major Ispat International Monday announced it was acquiring LNM Holdings of the Netherlands to become the world&#39;s largest steel producer.",5,0000-00-00 00:00:00,3,"ispat to become world&#39;s biggest steel company: [world news]: new york, oct 25 : global steel major ispat international monday announced it was acquiring lnm holdings of the netherlands to become the world&#39;s largest steel producer.",29,50,187,0.26595744680851063,3,1,1
188,Washington,New data strengthen Mars life evidence,US scientists have found new data showing patterns of water and methane on Mars could improve the chances life once existed there.,5,2004-09-21 22:44:11,5,new data strengthen mars life evidence us scientists have found new data showing patterns of water and methane on mars could improve the chances life once existed there.,22,38,130,0.2900763358778626,5,2,1
193,Reuters,"Iraq, N.Korea on agenda as Cheney arrives in Japan","TOKYO (Reuters) - Vice President Dick Cheney arrived in Japan on Tuesday on a visit to reassure America's close ally that a troop buildup will help quell violence in Iraq, just weeks after Japan's defense minister said starting the war was a mistake.",5,2007-02-20 15:16:01,0,"iraq, n.korea on agenda as cheney arrives in japan tokyo (reuters) - vice president dick cheney arrived in japan on tuesday on a visit to reassure america's close ally that a troop buildup will help quell violence in iraq, just weeks after japan's defense minister said starting the war was a mistake.",43,50,250,0.199203187250996,0,5,1
194,Hindustan,"India, Pak discuss J&amp;K, no progress expected",Top diplomats from Pakistan and India met on Tuesday for talks on disputed Kashmir but no breakthrough was expected on the issue. The South Asian neighbours have come a long way in patching up ties since going ,5,2004-12-28 11:23:35,3,"india, pak discuss j&amp;k, no progress expected top diplomats from pakistan and india met on tuesday for talks on disputed kashmir but no breakthrough was expected on the issue. the south asian neighbours have come a long way in patching up ties since going ",37,48,210,0.22748815165876776,3,5,1
202,RedNova,Stewart to Serve Time in West Virginia,"NEW YORK - Martha Stewart, convicted of lying about a stock sale, has been ordered to serve her sentence at the federal prison in Alderson, W.Va.    Stewart had asked to serve her five-month sentence in Danbury, Conn., close to her 90-year-old mother and her home in Westport, or as a second choice in Coleman, Fla...",5,0000-00-00 00:00:00,0,"stewart to serve time in west virginia new york - martha stewart, convicted of lying about a stock sale, has been ordered to serve her sentence at the federal prison in alderson, w.va.    stewart had asked to serve her five-month sentence in danbury, conn., close to her 90-year-old mother and her home in westport, or as a second choice in coleman, fla...",55,38,317,0.11949685534591195,0,3,1
233,eWeek,Palm&#39;s Tungsten Gains More Memory,PalmOne Inc. is beefing up its new Tungsten T5 handheld with more memory in an attempt to make the device more appealing to business users who need access to data-intensive applications.,5,0000-00-00 00:00:00,5,palm&#39;s tungsten gains more memory palmone inc. is beefing up its new tungsten t5 handheld with more memory in an attempt to make the device more appealing to business users who need access to data-intensive applications.,31,37,186,0.19786096256684493,5,3,1
250,Reuters,Orphan chimps turned killer find Leone refuge,"REGENT, Sierra Leone (Reuters) - They can leap playful somersaults or maul a human to death. Meet the chimpanzee, man's closest relative.",5,2007-09-26 16:00:04,3,"orphan chimps turned killer find leone refuge regent, sierra leone (reuters) - they can leap playful somersaults or maul a human to death. meet the chimpanzee, man's closest relative.",22,45,137,0.32608695652173914,3,5,1
258,Reuters,Northwest's Detroit air terminal closed by package,CHICAGO (Reuters) - Northwest Airlines Corp. said on Thursday that its terminal at Detroit Metropolitan Airport was closed after the discovery of an unattended package.,5,2007-09-13 18:15:48,5,northwest's detroit air terminal closed by package chicago (reuters) - northwest airlines corp. said on thursday that its terminal at detroit metropolitan airport was closed after the discovery of an unattended package.,25,50,168,0.2958579881656805,5,1,1
294,BBC,Admiral workers set for windfall,"Employees of car insurers Admiral are set to receive an average windfall of around Â£37,000 as the firms sells off a 10% stake.",5,0000-00-00 00:00:00,5,"admiral workers set for windfall employees of car insurers admiral are set to receive an average windfall of around â£37,000 as the firms sells off a 10% stake.",23,32,127,0.25,5,1,1
302,MOSNEWS,Iran Uses Russian Technology to Increase Its Ballistic Missilesâ <b>...</b>,Iran is taking advantage of Russian military technology with new test launches of ballistic missiles believed capable of hitting Israel and US bases in the Persian Gulf.,5,0000-00-00 00:00:00,3,iran uses russian technology to increase its ballistic missilesâ <b>...</b> iran is taking advantage of russian military technology with new test launches of ballistic missiles believed capable of hitting israel and us bases in the persian gulf.,27,77,169,0.45294117647058824,3,5,1
308,New,Arafat&#39;s nephew in France to seek medical records,The nephew of the late Palestinian leader Yasser Arafat arrived at Paris&#39; Charles de Gaulle Airport from Cairo yesterday to pick up the deceased leader&#39;s medical records in a family tug of war.,5,0000-00-00 00:00:00,5,arafat&#39;s nephew in france to seek medical records the nephew of the late palestinian leader yasser arafat arrived at paris&#39; charles de gaulle airport from cairo yesterday to pick up the deceased leader&#39;s medical records in a family tug of war.,33,53,201,0.2623762376237624,5,3,1
309,BBC,Blood infection probe to be held,A public inquiry is to be held into why contaminated blood products were given in the 70s and 80s.,5,2007-05-26 15:51:08,0,blood infection probe to be held a public inquiry is to be held into why contaminated blood products were given in the 70s and 80s.,19,32,98,0.32323232323232326,0,5,1
366,New,Researchers Take Step Toward Synthetic Life,Researchers say they have created the entire genome of a bacterium by stitching together its chemical components.,5,2008-01-26 07:19:07,6,researchers take step toward synthetic life researchers say they have created the entire genome of a bacterium by stitching together its chemical components.,17,43,113,0.37719298245614036,6,2,1
368,Reuters,"""Slum tourism"" stirs controversy in Kenya","NAIROBI (Reuters) - It's the de rigueur stop off for caring foreign dignitaries. It reached a worldwide audience as a backdrop to the British blockbuster ""The Constant Gardener"".",5,2007-02-10 00:56:25,3,"""slum tourism"" stirs controversy in kenya nairobi (reuters) - it's the de rigueur stop off for caring foreign dignitaries. it reached a worldwide audience as a backdrop to the british blockbuster ""the constant gardener"".",28,41,178,0.22905027932960895,3,5,1
403,BBC,ITV suspends premium phone-ins,Broadcaster ITV is to suspend all  premium-rate phone-in competitions pending a review.,5,2007-03-05 20:33:07,0,itv suspends premium phone-ins broadcaster itv is to suspend all  premium-rate phone-in competitions pending a review.,12,30,87,0.3409090909090909,0,1,1
432,RedNova,Indonesian VP OKs Marijuana As Spice,"JAKARTA, Indonesia - Marijuana possession should remain a crime in Indonesia, but chefs who use the herb as a traditional way to season curries should not be arrested, the country's vice president told local reporters.",4,2007-06-27 10:50:00,3,"indonesian vp oks marijuana as spice jakarta, indonesia - marijuana possession should remain a crime in indonesia, but chefs who use the herb as a traditional way to season curries should not be arrested, the country's vice president told local reporters.",35,36,218,0.1643835616438356,3,2,1
433,Houston,Intelligence bill passes; immigration up next,A battle between President Bush and Congress over immigration policies and related security concerns continues in the wake of lawmakers&#39; approval of a hard-fought bill to revamp the nation&#39;s intelligence network.,5,0000-00-00 00:00:00,5,intelligence bill passes; immigration up next a battle between president bush and congress over immigration policies and related security concerns continues in the wake of lawmakers&#39; approval of a hard-fought bill to revamp the nation&#39;s intelligence network.,31,45,220,0.20361990950226244,5,3,1
443,Reuters,Iraq to Probe if Army Massacre Was Inside Job," BAGHDAD (Reuters) - Iraq believes the weekend massacre of  49 army recruits could have been an inside job, a source close  to interim Prime Minister Iyad Allawi told Reuters Monday.",5,0000-00-00 00:00:00,0,"iraq to probe if army massacre was inside job  baghdad (reuters) - iraq believes the weekend massacre of  49 army recruits could have been an inside job, a source close  to interim prime minister iyad allawi told reuters monday.",30,45,182,0.2459016393442623,0,5,1
459,BBC,Officer shot in covert operation,A man is held after a shot is fired at a police officer conducting a surveillance operation.,5,2007-12-22 13:23:16,0,officer shot in covert operation a man is held after a shot is fired at a police officer conducting a surveillance operation.,17,32,92,0.34408602150537637,0,5,1
486,New,"Eternal Rest With the Fishes, as a Part of an Artificial Reef",A company creates artificial reefs with cremation ashes and marine-grade concrete to honor the remains of the dearly departed.,5,0000-00-00 00:00:00,0,"eternal rest with the fishes, as a part of an artificial reef a company creates artificial reefs with cremation ashes and marine-grade concrete to honor the remains of the dearly departed.",19,61,126,0.48031496062992124,0,2,1
487,Medical,"USA health improvements are stalling, especially obesity and <b>...</b>","During the 1990s Americans were getting healthier at an annual rate of 1.5% per year, since 2000 the increase dropped to 0.2% per year, now it has stalled completely.",5,2004-11-08 12:55:29,3,"usa health improvements are stalling, especially obesity and <b>...</b> during the 1990s americans were getting healthier at an annual rate of 1.5% per year, since 2000 the increase dropped to 0.2% per year, now it has stalled completely.",29,71,166,0.4251497005988024,3,6,1
502,Melbourne,Deputy PM named in bribes affair,"EXPLOSIVE allegations of election bribery have engulfed Deputy Prime Minister John Anderson and a senior National Party senator. In a serious embarrassment for the Howard Government, Mr Anderson and Senator ",5,0000-00-00 00:00:00,3,"deputy pm named in bribes affair explosive allegations of election bribery have engulfed deputy prime minister john anderson and a senior national party senator. in a serious embarrassment for the howard government, mr anderson and senator ",30,32,207,0.15384615384615385,3,0,1
524,Guardian,Laugh? You must be joking,Arts & entertainment: There's a brilliant exhibition to be made about humour and art. Shame the Hayward's new show isn't it,5,2008-01-29 02:03:31,5,laugh? you must be joking arts & entertainment: there's a brilliant exhibition to be made about humour and art. shame the hayward's new show isn't it,21,25,123,0.20161290322580644,5,3,1
533,BBC,Killer flu recreated in the lab,"\
Scientists have shown that tiny changes to modern flu viruses could render them as deadly as the 1918 strain which killed millions.",5,0000-00-00 00:00:00,5,"killer flu recreated in the lab \
scientists have shown that tiny changes to modern flu viruses could render them as deadly as the 1918 strain which killed millions.",23,31,133,0.23134328358208955,5,6,1
547,Reuters,Annan voices support for Palestinian unity government," RAMALLAH, West Bank (Reuters) - U.N. Secretary General Kofi   Annan on Wednesday voiced support for the formation of a   Palestinian unity government that Palestinian leaders hope   could ease foreign sanctions imposed after Hamas won elections.",5,2006-08-30 18:03:34,0,"annan voices support for palestinian unity government  ramallah, west bank (reuters) - u.n. secretary general kofi   annan on wednesday voiced support for the formation of a   palestinian unity government that palestinian leaders hope   could ease foreign sanctions imposed after hamas won elections.",35,53,246,0.2145748987854251,0,5,1
556,New,2 CONVICTED IN IMMIGRANT DEATHS,HOUSTON - Two men were convicted yesterday for their role in the nation&#39;s deadliest human-smuggling attempt â- journey that ended in the deaths of 19 illegal immigrants crammed in a sweltering tractor-trailer.,5,2004-12-24 08:33:06,5,2 convicted in immigrant deaths houston - two men were convicted yesterday for their role in the nation&#39;s deadliest human-smuggling attempt â- journey that ended in the deaths of 19 illegal immigrants crammed in a sweltering tractor-trailer.,32,31,214,0.14418604651162792,5,0,1
591,Reuters,Yahoo plans to cut several hundred jobs: source,"SAN FRANCISCO (Reuters) - Yahoo Inc is planning to announce cutbacks later this month that will likely lead to hundreds of job losses at the nearly 14,000 employee company, a source familiar with the plan said on Monday.",5,2008-01-22 07:40:55,1,"yahoo plans to cut several hundred jobs: source san francisco (reuters) - yahoo inc is planning to announce cutbacks later this month that will likely lead to hundreds of job losses at the nearly 14,000 employee company, a source familiar with the plan said on monday.",38,47,220,0.21266968325791855,1,5,1
594,InfoWorld,Windows XP SP2 respite to end,"After a nine-day postponement, Microsoft Corp. on Wednesday plans to start pushing out Windows XP Service Pack 2 (SP2) to PCs running Windows XP Professional Edition.",5,0000-00-00 00:00:00,3,"windows xp sp2 respite to end after a nine-day postponement, microsoft corp. on wednesday plans to start pushing out windows xp service pack 2 (sp2) to pcs running windows xp professional edition.",26,29,166,0.17365269461077845,3,2,1
601,Guardian,Beth Ditto gets her NME revenge,Arts & entertainment: Gossip singer becomes naked cover star after previous Cool List snub.,5,2007-05-30 15:00:31,5,beth ditto gets her nme revenge arts & entertainment: gossip singer becomes naked cover star after previous cool list snub.,14,31,91,0.33695652173913043,5,3,1
605,Reuters,Far-Right Surge in East Alarms Mainstream Germany,"Germany faced a surge of far-right parties in eastern state elections, worrying about their rise and the ensuing damage to the country&#39;s image.",5,2004-09-20 17:13:51,3,"far-right surge in east alarms mainstream germany germany faced a surge of far-right parties in eastern state elections, worrying about their rise and the ensuing damage to the country&#39;s image.",23,49,147,0.3310810810810811,3,5,1
612,Yahoo,"Silverstone to appear in PETA TV ad \
    (AP)\
",AP - An animal rights group says Alicia Silverstone appears naked in a television ad promoting vegetarianism that was to debut Wednesday in Houston.,5,2007-09-18 23:56:23,3,"silverstone to appear in peta tv ad \
    (ap)\
 ap - an animal rights group says alicia silverstone appears naked in a television ad promoting vegetarianism that was to debut wednesday in houston.",24,48,148,0.3221476510067114,3,0,1
616,NW,Canadian MPs urge legal action over Barrow subs,CANADIAN prime minister Paul Martin and top navy chiefs are backing Barrow shipyard after pressure mounted for Britain to be sued over the submarine tragedy.,5,0000-00-00 00:00:00,3,canadian mps urge legal action over barrow subs canadian prime minister paul martin and top navy chiefs are backing barrow shipyard after pressure mounted for britain to be sued over the submarine tragedy.,25,47,157,0.2974683544303797,3,0,1
618,Reuters,"""Don't Tase Me, Bro"" tops '07 memorable quote list","LOS ANGELES (Reuters) - ""Don't Tase Me, Bro,"" a phrase that swept the nation after a U.S. college student used it seeking to stop campus police from throwing him out of a speech by Sen. John Kerry, was named on Wednesday as the most memorable quote of 2007.",5,2007-12-19 17:26:01,5,"""don't tase me, bro"" tops '07 memorable quote list los angeles (reuters) - ""don't tase me, bro,"" a phrase that swept the nation after a u.s. college student used it seeking to stop campus police from throwing him out of a speech by sen. john kerry, was named on wednesday as the most memorable quote of 2007.",48,50,257,0.1937984496124031,5,0,1
656,Yahoo,Worst Oil Spill in Five Years Off S. China Coast (Reuters),"Reuters - Two container ships collided and\
spilled some 450 tons of fuel oil off China's southern coast,\
the country's worst oil spill in five years, a maritime\
official said on Thursday.",5,0000-00-00 00:00:00,2,"worst oil spill in five years off s. china coast (reuters) reuters - two container ships collided and\
spilled some 450 tons of fuel oil off china's southern coast,\
the country's worst oil spill in five years, a maritime\
official said on thursday.",32,58,190,0.3036649214659686,2,0,1
666,Times,Mortgages fall as house market cools,"Home loan approvals in October fell to their lowest levels in nearly five years, according to figures released this morning by the Bank of England, confirming that the housing ",5,2004-11-29 13:25:07,5,"mortgages fall as house market cools home loan approvals in october fell to their lowest levels in nearly five years, according to figures released this morning by the bank of england, confirming that the housing ",29,36,176,0.2033898305084746,5,1,1
