Id,text,source,title,n_tokens,title_ratio,year,month,has_timestamp
0,radio appeal unearths missing pickle recipe a plea by chris evans on radio 2 for the return of the defunct pan yan pickle was met last week by a sheepish admission from the food giant behind the brand that the closely guarded secret recipe had been destroyed in a warehouse fire in 2004,Guardian,Radio appeal unearths missing pickle recipe,53,0.14982578397212543,2008.0,1.0,1
1,vonage loses appeal in verizon patent case the internet phone provider now faces paying out hefty damages and a possible shutdown of its service.,CNET,Vonage loses appeal in Verizon patent case,24,0.2876712328767123,2007.0,9.0,1
2,"italy launches major offensive against organized crime italian police launched a major offensive against the neapolitan crime syndicate the camorra on tuesday with the arrests of at least 52 people, italian media reported.",Xinhua,Italy launches major offensive against organized crime,33,0.242152466367713,2004.0,12.0,1
3,bae 'to appoint ethics committee' bae systems is reported to be planning to set up an external ethics committee to look into its arms deals.,BBC,BAE 'to appoint ethics committee',25,0.23404255319148937,2007.0,6.0,1
4,us envoy bolton to stop here on way to nuclear talks a senior us official will visit israel for consultations prior to the international atomic energy agency's board of governors meeting next week to discuss iran's nuclear program.,Ha'aretz,US envoy Bolton to stop here on way to nuclear talks,38,0.22413793103448276,,,0
5,"mobile games set for simultaneous launch end of operator exclusivity \ four of the largest mobile games publishers (ea, glu, gameloft and i-play) have agreed to launch games simultaneously on all the uk networks, removing one more avenue for network differentiation and, hopefully, reducing customer confusion.â¦",Register,Mobile games set for simultaneous launch,46,0.12738853503184713,2007.0,5.0,1
6,"court tv tilts to tabloid side in ratings quest reflecting a new emphasis on reality shows, the court tv cable network is taking on a new name as of jan. 1: trutv.",New,Court TV Tilts to Tabloid Side in Ratings Quest,32,0.2865853658536585,2007.0,7.0,1
7,postal geography mix-up hits ascension island (reuters) reuters - britain's ascension island has been without post since october because the royal mail has been sending its mail to\ south america.,Yahoo,Postal geography mix-up hits Ascension Island (Reuters),30,0.27918781725888325,2005.0,1.0,1
8,nhl suits up like never before montreal -- the national hockey league is hoping a dose of high-tech design and a dollop of fashion will help revitalize a sport deemed too dull by many fans south of the canadian border.,Boston,NHL suits up like never before,40,0.136986301369863,2007.0,6.0,1
9,"more detained in secure hospitals the number of people detained in secure psychiatric wards in england has reached a record high, figures show.",BBC,More detained in secure hospitals,23,0.22916666666666666,2007.0,9.0,1
10,london rooftop statues prompt suicide fear calls \ (reuters)\ reuters - statues scattered across central london\ rooftops as part of artist antony gormley's latest exhibition\ are proving a serious headache for police.,Yahoo,"London rooftop statues prompt suicide fear calls \
    (Reuters)\
",32,0.3013698630136986,2007.0,6.0,1
11,"ivax skids on earnings shares of ivax (ivx:amex - news - research) declined monday , as strong quarterly results still fell below analysts' predictions.",TheStreet.com,Ivax Skids on Earnings,24,0.1437908496732026,,,0
