Id,source,title,article,page_rank,timestamp,text,n_tokens,title_len,article_len,title_ratio
0,Guardian,Radio appeal unearths missing pickle recipe,A plea by Chris Evans on Radio 2 for the return of the defunct Pan Yan pickle was met last week by a sheepish admission from the food giant behind the brand that the closely guarded secret recipe had been destroyed in a warehouse fire in 2004,5,2008-01-27 04:37:04,radio appeal unearths missing pickle recipe a plea by chris evans on radio 2 for the return of the defunct pan yan pickle was met last week by a sheepish admission from the food giant behind the brand that the closely guarded secret recipe had been destroyed in a warehouse fire in 2004,47,43,242,0.17695473251028807
1,CNET,Vonage loses appeal in Verizon patent case,The Internet phone provider now faces paying out hefty damages and a possible shutdown of its service.,3,2007-09-27 04:00:25,vonage loses appeal in verizon patent case the internet phone provider now faces paying out hefty damages and a possible shutdown of its service.,17,42,102,0.4077669902912621
2,Xinhua,Italy launches major offensive against organized crime,"Italian Police launched a major offensive against the Neapolitan crime syndicate the Camorra on Tuesday with the arrests of at least 52 people, Italian media reported.",5,2004-12-08 02:21:45,"italy launches major offensive against organized crime italian police launched a major offensive against the neapolitan crime syndicate the camorra on tuesday with the arrests of at least 52 people, italian media reported.",26,54,167,0.32142857142857145
3,BBC,BAE 'to appoint ethics committee',BAE Systems is reported to be planning to set up an external ethics committee to look into its arms deals.,5,2007-06-10 15:35:07,bae 'to appoint ethics committee' bae systems is reported to be planning to set up an external ethics committee to look into its arms deals.,20,33,106,0.308411214953271
4,Ha'aretz,US envoy Bolton to stop here on way to nuclear talks,A senior US official will visit Israel for consultations prior to the International Atomic Energy Agency&#39;s board of governors meeting next week to discuss Iran&#39;s nuclear program.,5,0000-00-00 00:00:00,us envoy bolton to stop here on way to nuclear talks a senior us official will visit israel for consultations prior to the international atomic energy agency&#39;s board of governors meeting next week to discuss iran&#39;s nuclear program.,27,52,186,0.27807486631016043
5,Register,Mobile games set for simultaneous launch,"<h4>End of operator exclusivity</h4>\
<p>Four of the largest mobile games publishers (EA, Glu, Gameloft and I-play) have agreed to launch games simultaneously on all the UK networks, removing one more avenue for network differentiation and, hopefully, reducing customer confusion.â¦</p>",5,2007-05-30 08:38:15,"mobile games set for simultaneous launch <h4>end of operator exclusivity</h4>\
<p>four of the largest mobile games publishers (ea, glu, gameloft and i-play) have agreed to launch games simultaneously on all the uk networks, removing one more avenue for network differentiation and, hopefully, reducing customer confusion.â¦</p>",39,40,287,0.1388888888888889
6,New,Court TV Tilts to Tabloid Side in Ratings Quest,"Reflecting a new emphasis on reality shows, the Court TV cable network is taking on a new name as of Jan. 1: truTV.",5,2007-07-16 03:55:32,"court tv tilts to tabloid side in ratings quest reflecting a new emphasis on reality shows, the court tv cable network is taking on a new name as of jan. 1: trutv.",23,47,115,0.4051724137931034
7,Yahoo,Postal geography mix-up hits Ascension Island (Reuters),"Reuters - Britain's Ascension Island has been without post since October because the Royal Mail has been sending its mail to\
South America.",5,2005-01-10 07:18:03,"postal geography mix-up hits ascension island (reuters) reuters - britain's ascension island has been without post since october because the royal mail has been sending its mail to\
south america.",23,55,140,0.3900709219858156
8,Boston,NHL suits up like never before,MONTREAL -- The National Hockey League is hoping a dose of high-tech design and a dollop of fashion will help revitalize a sport deemed too dull by many fans south of the Canadian border.,4,2007-06-21 13:26:05,nhl suits up like never before montreal -- the national hockey league is hoping a dose of high-tech design and a dollop of fashion will help revitalize a sport deemed too dull by many fans south of the canadian border.,34,30,187,0.1595744680851064
9,BBC,More detained in secure hospitals,"The number of people detained in secure psychiatric wards in England has reached a record high, figures show.",5,2007-09-10 05:26:22,"more detained in secure hospitals the number of people detained in secure psychiatric wards in england has reached a record high, figures show.",18,33,109,0.3
10,Yahoo,"London rooftop statues prompt suicide fear calls \
    (Reuters)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/nm/20070618/od_uk_nm/oukoe_uk_jumpers""><img src=""http://d.yimg.com/us.yimg.com/p/rids/20070618/i/ra3047464535.jpg?x=130&y=73&sig=3CbbJ1WK75CG863Y3e4cWw--"" align=""left"" height=""73"" width=""130"" alt=""A sculpture by artist Antony Gormley stands on a rooftop overlooking the Hayward Gallery in central London May 1, 2007. &#39;Event Horizon&#39; is an installation of 31 iron sculpture casts of the artist&#39;s body, located around central London and coinciding with his &#39;Blind Light&#39; exhibition, which runs until August 19. REUTERS/Toby Melville"" border=""0"" /></a>Reuters - Statues scattered across central London\
rooftops as part of artist Antony Gormley&#39;s latest exhibition\
are proving a serious headache for police.</p><br clear=""all""/>",5,2007-06-18 16:01:47,"london rooftop statues prompt suicide fear calls \
    (reuters)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/nm/20070618/od_uk_nm/oukoe_uk_jumpers""><img src=""http://d.yimg.com/us.yimg.com/p/rids/20070618/i/ra3047464535.jpg?x=130&y=73&sig=3cbbj1wk75cg863y3e4cww--"" align=""left"" height=""73"" width=""130"" alt=""a sculpture by artist antony gormley stands on a rooftop overlooking the hayward gallery in central london may 1, 2007. &#39;event horizon&#39; is an installation of 31 iron sculpture casts of the artist&#39;s body, located around central london and coinciding with his &#39;blind light&#39; exhibition, which runs until august 19. reuters/toby melville"" border=""0"" /></a>reuters - statues scattered across central london\
rooftops as part of artist antony gormley&#39;s latest exhibition\
are proving a serious headache for police.</p><br clear=""all""/>",83,66,831,0.07932692307692307
11,TheStreet.com,Ivax Skids on Earnings,"Shares of Ivax (IVX:AMEX - news - research) declined Monday , as strong quarterly results still fell below analysts&#39; predictions.",5,0000-00-00 00:00:00,"ivax skids on earnings shares of ivax (ivx:amex - news - research) declined monday , as strong quarterly results still fell below analysts&#39; predictions.",20,22,133,0.16417910447761194
12,Reuters,Scotland defender Pressley ruled out of qualifiers,Scotland defender Steven Pressley is the latest player to drop out of a depleted squad for the World Cup qualifiers with Norway and Moldova.,5,0000-00-00 00:00:00,scotland defender pressley ruled out of qualifiers scotland defender steven pressley is the latest player to drop out of a depleted squad for the world cup qualifiers with norway and moldova.,24,50,140,0.3546099290780142
13,Computerworld,SAP reports jump in Q3 revenue and profit,"Boosted by strong sales in Europe, the Middle East and Africa, and with continued growth in the U.S., SAP AG, the world's largest maker of business management software, posted a third-quarter rise in revenue and net income.",4,0000-00-00 00:00:00,"sap reports jump in q3 revenue and profit boosted by strong sales in europe, the middle east and africa, and with continued growth in the u.s., sap ag, the world's largest maker of business management software, posted a third-quarter rise in revenue and net income.",37,41,223,0.18303571428571427
